station,YYYY-MM-DD,daily_rain,daily_rain_source,max_temp,max_temp_source,min_temp,min_temp_source,metadata
78025,2019-01-01,    0.0,25, 33.1,25, 10.0,25,"name=LILLIMUR ESTATE                         "
78025,2019-01-02,    0.0,25, 32.5,25, 11.7,25,"latitude= -36.3664"
78025,2019-01-03,    0.0,25, 38.6,25, 11.9,25,"longitude= 141.1144"
78025,2019-01-04,    0.0,25, 40.3,25, 22.3,25,"elevation= 135.0 m"
78025,2019-01-05,    0.0,25, 24.0,25, 12.3,25,"reference=rxn"
78025,2019-01-06,    0.0,25, 27.7,25,  6.9,25,"extracted=20201203"
78025,2019-01-07,    0.0,25, 29.2,25,  8.7,25,"Please read our web site for information about the meanings of the codes, and other information"
78025,2019-01-08,    0.0,25, 28.5,25, 10.8,25,""
78025,2019-01-09,    0.0,25, 25.5,25,  9.9,25,""
78025,2019-01-10,    0.0,25, 27.2,25,  6.6,25,""
78025,2019-01-11,    0.0,25, 37.4,25, 13.0,25,""
78025,2019-01-12,    0.0,25, 34.4,25, 17.7,25,""
78025,2019-01-13,    0.0,25, 36.0,25,  9.9,25,""
78025,2019-01-14,    0.0,25, 40.6,25, 11.5,25,""
78025,2019-01-15,    0.0,25, 42.1,25, 16.3,25,""
78025,2019-01-16,    0.0,25, 38.0,25, 16.4,25,""
78025,2019-01-17,    0.0,25, 36.0,25, 23.0,25,""
78025,2019-01-18,    0.0,25, 28.1,25, 20.5,25,""
78025,2019-01-19,    0.0,25, 30.1,25,  9.4,25,""
78025,2019-01-20,    0.0,25, 34.6,25, 11.5,25,""
78025,2019-01-21,    0.0,25, 37.9,25, 14.0,25,""
78025,2019-01-22,    0.0,25, 40.0,25, 15.5,25,""
78025,2019-01-23,    0.0,25, 38.5,25, 16.1,25,""
78025,2019-01-24,    0.0,25, 44.6,25, 19.3,25,""
78025,2019-01-25,    0.0,25, 36.4,25, 24.1,25,""
78025,2019-01-26,    0.0,25, 30.4,25, 15.0,25,""
78025,2019-01-27,    0.0,25, 27.5,25, 12.3,25,""
78025,2019-01-28,    0.0,25, 31.6,25,  9.5,25,""
78025,2019-01-29,    0.0,25, 34.4,25, 11.6,25,""
78025,2019-01-30,    0.0,25, 40.4,25, 13.5,25,""
78025,2019-01-31,    0.0,25, 25.7,25, 11.7,25,""
78025,2019-02-01,    0.0,25, 29.3,25,  6.5,25,""
78025,2019-02-02,    0.0,25, 36.3,25, 10.2,25,""
78025,2019-02-03,    0.0,25, 42.8,25, 19.4,25,""
78025,2019-02-04,    0.0,25, 30.1,25, 16.3,25,""
78025,2019-02-05,    0.4,25, 31.5,25, 11.1,25,""
78025,2019-02-06,    0.0,25, 27.7,25, 15.0,25,""
78025,2019-02-07,    3.5,25, 31.4,25, 15.0,25,""
78025,2019-02-08,    0.0,25, 25.3,25, 14.4,25,""
78025,2019-02-09,    2.0,25, 21.7,25, 13.2,25,""
78025,2019-02-10,    0.0,25, 25.0,25,  8.5,25,""
78025,2019-02-11,    0.0,25, 27.0,25, 12.6,25,""
78025,2019-02-12,    1.5,25, 19.7,25, 13.5,25,""
78025,2019-02-13,    1.6,25, 21.6,25,  7.0,25,""
78025,2019-02-14,    0.0,25, 24.8,25,  7.3,25,""
78025,2019-02-15,    0.0,25, 30.0,25,  9.2,25,""
78025,2019-02-16,    0.0,25, 32.8,25, 10.8,25,""
78025,2019-02-17,    0.0,25, 34.4,25, 13.8,25,""
78025,2019-02-18,    0.0,25, 25.8,25, 16.5,25,""
78025,2019-02-19,    0.0,25, 24.2,25,  8.3,25,""
78025,2019-02-20,    0.0,25, 25.3,25,  8.8,25,""
78025,2019-02-21,    0.0,25, 27.4,25,  9.5,25,""
78025,2019-02-22,    0.0,25, 32.2,25,  8.8,25,""
78025,2019-02-23,    0.0,25, 32.7,25, 10.2,25,""
78025,2019-02-24,    0.0,25, 37.1,25, 15.5,25,""
78025,2019-02-25,    0.0,25, 36.3,25, 17.8,25,""
78025,2019-02-26,    0.0,25, 36.1,25, 15.2,25,""
78025,2019-02-27,    0.0,25, 38.5,25, 14.1,25,""
78025,2019-02-28,    0.0,25, 39.7,25, 17.2,25,""
78025,2019-03-01,    0.0,25, 39.5,25, 19.5,25,""
78025,2019-03-02,    0.0,25, 39.3,25, 23.6,25,""
78025,2019-03-03,    0.0,25, 35.2,25, 19.4,25,""
78025,2019-03-04,    0.0,25, 33.5,25, 13.9,25,""
78025,2019-03-05,    0.0,25, 26.8,25, 13.1,25,""
78025,2019-03-06,    0.3,25, 20.4,25,  8.0,25,""
78025,2019-03-07,    0.7,25, 24.7,25,  3.7,25,""
78025,2019-03-08,    0.0,25, 27.7,25, 10.5,25,""
78025,2019-03-09,    0.0,25, 29.3,25, 11.2,25,""
78025,2019-03-10,    0.4,25, 22.0,25, 12.2,25,""
