station,YYYY-MM-DD,daily_rain,daily_rain_source,max_temp,max_temp_source,min_temp,min_temp_source,metadata
79021,2019-01-01,    0.0,25, 31.0,25,  9.4,25,"name=HARROW (POST OFFICE)                    "
79021,2019-01-02,    0.0,25, 29.6,25, 12.2,25,"latitude= -37.1659"
79021,2019-01-03,    0.0,25, 37.5,25, 10.4,25,"longitude= 141.5919"
79021,2019-01-04,    0.0,25, 39.9,25, 18.8,25,"elevation= 116.0 m"
79021,2019-01-05,    0.0,25, 23.1,25, 11.7,25,"reference=rxn"
79021,2019-01-06,    0.0,25, 25.3,25,  6.7,25,"extracted=20201203"
79021,2019-01-07,    0.0,25, 28.8,25, 11.0,25,"Please read our web site for information about the meanings of the codes, and other information"
79021,2019-01-08,    0.0,25, 27.8,25, 10.3,25,""
79021,2019-01-09,    0.0,25, 23.7,25,  9.4,25,""
79021,2019-01-10,    0.0,25, 25.7,25,  5.1,25,""
79021,2019-01-11,    0.0,25, 36.0,25,  9.5,25,""
79021,2019-01-12,    0.0,25, 31.0,25, 17.2,25,""
79021,2019-01-13,    0.0,25, 32.3,25, 11.8,25,""
79021,2019-01-14,    0.0,25, 39.1,25, 10.1,25,""
79021,2019-01-15,    0.0,25, 40.3,25, 14.9,25,""
79021,2019-01-16,    0.0,25, 37.0,25, 15.7,25,""
79021,2019-01-17,    0.6,25, 33.0,25, 22.2,25,""
79021,2019-01-18,    0.2,25, 26.9,25, 19.4,25,""
79021,2019-01-19,    0.0,25, 28.6,25,  8.6,25,""
79021,2019-01-20,    0.0,25, 32.0,25, 11.9,25,""
79021,2019-01-21,    0.0,25, 36.9,25, 13.8,25,""
79021,2019-01-22,    0.0,25, 38.6,25, 13.1,25,""
79021,2019-01-23,    0.0,25, 35.4,25, 14.4,25,""
79021,2019-01-24,    0.0,25, 43.5,25, 15.3,25,""
79021,2019-01-25,    0.3,25, 35.9,25, 23.3,25,""
79021,2019-01-26,    0.1,25, 30.3,25, 13.8,25,""
79021,2019-01-27,    0.0,25, 27.7,25, 11.2,25,""
79021,2019-01-28,    0.0,25, 31.6,25,  8.4,25,""
79021,2019-01-29,    0.0,25, 33.8,25, 10.9,25,""
79021,2019-01-30,    0.0,25, 39.4,25,  9.5,25,""
79021,2019-01-31,    0.0,25, 23.8,25, 11.2,25,""
79021,2019-02-01,    0.0,25, 27.7,25,  7.0,25,""
79021,2019-02-02,    0.0,25, 35.6,25,  9.5,25,""
79021,2019-02-03,    0.0,25, 41.3,25, 14.9,25,""
79021,2019-02-04,    0.0,25, 27.1,25, 16.4,25,""
79021,2019-02-05,    0.0,25, 29.0,25, 13.5,25,""
79021,2019-02-06,    0.0,25, 29.5,25, 15.2,25,""
79021,2019-02-07,    2.0,25, 31.0,25, 14.1,25,""
79021,2019-02-08,    0.0,25, 25.0,25, 14.4,25,""
79021,2019-02-09,    4.0,25, 20.9,25, 12.1,25,""
79021,2019-02-10,    0.0,25, 25.0,25,  8.2,25,""
79021,2019-02-11,    0.0,25, 25.1,25, 12.4,25,""
79021,2019-02-12,    3.2,25, 18.7,25, 11.9,25,""
79021,2019-02-13,    0.3,25, 21.0,25,  7.0,25,""
79021,2019-02-14,    0.0,25, 24.5,25,  7.2,25,""
79021,2019-02-15,    0.0,25, 28.7,25, 10.7,25,""
79021,2019-02-16,    0.0,25, 31.1,25, 10.8,25,""
79021,2019-02-17,    0.0,25, 33.4,25, 12.7,25,""
79021,2019-02-18,    0.0,25, 25.5,25, 15.4,25,""
79021,2019-02-19,    0.0,25, 23.1,25,  7.9,25,""
79021,2019-02-20,    0.0,25, 24.9,25,  8.3,25,""
79021,2019-02-21,    0.0,25, 25.6,25,  8.4,25,""
79021,2019-02-22,    0.0,25, 30.4,25, 10.1,25,""
79021,2019-02-23,    0.0,25, 31.0,25, 11.2,25,""
79021,2019-02-24,    0.0,25, 36.3,25, 13.0,25,""
79021,2019-02-25,    0.0,25, 36.3,25, 16.4,25,""
79021,2019-02-26,    0.0,25, 31.3,25, 13.9,25,""
79021,2019-02-27,    0.0,25, 37.5,25, 11.4,25,""
79021,2019-02-28,    0.0,25, 39.7,25, 16.7,25,""
79021,2019-03-01,    0.0,25, 39.5,25, 18.4,25,""
79021,2019-03-02,    0.0,25, 39.2,25, 20.1,25,""
79021,2019-03-03,    0.0,25, 34.4,25, 18.9,25,""
79021,2019-03-04,    0.0,25, 32.5,25, 12.7,25,""
79021,2019-03-05,    0.0,25, 26.7,25, 11.3,25,""
79021,2019-03-06,    0.7,25, 19.7,25,  7.2,25,""
79021,2019-03-07,    0.0,25, 24.2,25,  2.4,25,""
79021,2019-03-08,    0.0,25, 24.8,25,  9.4,25,""
79021,2019-03-09,    0.0,25, 28.8,25, 10.3,25,""
79021,2019-03-10,    0.5,25, 19.9,25, 11.7,25,""
79021,2019-03-11,    3.4,25, 22.3,25, 13.7,25,""
79021,2019-03-12,    0.6,25, 19.7,25, 12.4,25,""
79021,2019-03-13,    0.0,25, 20.7,25,  4.1,25,""
79021,2019-03-14,    0.0,25, 24.9,25,  5.0,25,""
79021,2019-03-15,    0.0,25, 25.3,25,  8.6,25,""
