station,YYYY-MM-DD,daily_rain,daily_rain_source,max_temp,max_temp_source,min_temp,min_temp_source,metadata
79047,2019-01-01,    0.0,25, 32.4,25, 10.3,25,"name=WARTOOK POST OFFICE                     "
79047,2019-01-02,    0.0,25, 30.2,25, 12.8,25,"latitude= -37.0000"
79047,2019-01-03,    0.0,25, 36.4,25, 10.8,25,"longitude= 142.3500"
79047,2019-01-04,    0.0,25, 43.1,25, 18.7,25,"elevation= 167.6 m"
79047,2019-01-05,    0.0,25, 23.8,25, 12.2,25,"reference=rxn"
79047,2019-01-06,    0.0,25, 25.8,25,  6.7,25,"extracted=20201203"
79047,2019-01-07,    0.0,25, 29.3,25, 10.7,25,"Please read our web site for information about the meanings of the codes, and other information"
79047,2019-01-08,    0.0,25, 29.8,25, 10.8,25,""
79047,2019-01-09,    0.0,25, 23.9,25, 10.5,25,""
79047,2019-01-10,    0.0,25, 26.1,25,  5.5,25,""
79047,2019-01-11,    0.0,25, 34.9,25, 10.3,25,""
79047,2019-01-12,    0.0,25, 32.9,25, 17.4,25,""
79047,2019-01-13,    0.0,25, 33.1,25, 10.8,25,""
79047,2019-01-14,    0.0,25, 40.1,25, 11.6,25,""
79047,2019-01-15,    0.0,25, 40.1,25, 16.3,25,""
79047,2019-01-16,    0.0,25, 38.0,25, 16.4,25,""
79047,2019-01-17,    0.0,25, 34.9,25, 22.4,25,""
79047,2019-01-18,    1.0,25, 29.9,25, 19.0,25,""
79047,2019-01-19,    0.0,25, 28.3,25,  9.2,25,""
79047,2019-01-20,    0.0,25, 32.5,25, 11.8,25,""
79047,2019-01-21,    0.0,25, 37.3,25, 14.1,25,""
79047,2019-01-22,    0.0,25, 39.5,25, 15.6,25,""
79047,2019-01-23,    0.0,25, 35.5,25, 15.2,25,""
79047,2019-01-24,    0.0,25, 42.1,25, 15.6,25,""
79047,2019-01-25,    0.0,25, 40.2,25, 23.6,25,""
79047,2019-01-26,    0.0,25, 31.6,25, 14.6,25,""
79047,2019-01-27,    0.0,25, 28.2,25, 12.2,25,""
79047,2019-01-28,    0.0,25, 32.1,25,  9.3,25,""
79047,2019-01-29,    0.0,25, 34.6,25, 12.1,25,""
79047,2019-01-30,    0.0,25, 39.8,25, 12.0,25,""
79047,2019-01-31,    0.0,25, 23.6,25, 12.2,25,""
79047,2019-02-01,    0.0,25, 27.4,25,  8.4,25,""
79047,2019-02-02,    0.0,25, 35.0,25,  9.3,25,""
79047,2019-02-03,    0.0,25, 41.5,25, 14.3,25,""
79047,2019-02-04,    0.0,25, 27.6,25, 15.9,25,""
79047,2019-02-05,    0.0,25, 29.1,25, 12.6,25,""
79047,2019-02-06,    0.0,25, 30.9,25, 15.4,25,""
79047,2019-02-07,    9.6,25, 30.5,25, 15.2,25,""
79047,2019-02-08,    1.3,25, 25.4,25, 14.3,25,""
79047,2019-02-09,    0.0,25, 20.4,25, 10.9,25,""
79047,2019-02-10,    0.5,25, 25.0,25,  7.3,25,""
79047,2019-02-11,    7.7,25, 25.3,25, 11.4,25,""
79047,2019-02-12,    4.6,25, 18.3,25, 12.7,25,""
79047,2019-02-13,    0.4,25, 20.3,25,  6.4,25,""
