0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
0.09868757,0.095974,0.09334628,0.08886456,0.08519485,0.08525398,0.08806613,0.09017819,0.08982596,0.0881163,0.08667653,0.08571987,0.0856209,0.08709999,0.08988352,0.09074254,0.08713216,0.08327691,0.08861557,0.10720158,0.13120639999999997,0.14817297,0.15427762,0.15940508,0.18314347,0.23619908,0.30611634,0.35408140000000005,0.34410384,0.28654796,0.23943865,0.24845229999999996,0.29254907,0.3042155,0.25175565,0.18446481,0.14970374,0.15187268,0.16127162,0.15409273,0.13227059,0.11090139,0.09872561,0.09366222,0.09014136,0.08781887,0.08677912,0.08597409,0.08288788,0.07681279,0.07086071,0.07016046,0.07802714,0.09387849,0.11833124
0.09561577,0.09171454,0.08852451,0.08607291,0.08434408,0.08329104,0.08284482,0.08291952,0.08341046,0.08418821,0.08509444,0.08609792,0.08666349,0.08687259,0.08676861,0.08661708,0.08696452,0.08865185,0.09276039999999999,0.1004789,0.11290132,0.13078330000000002,0.15964948,0.18910848,0.22186749,0.25566304,0.28776799999999997,0.31534773,0.33586293,0.34744143,0.34915483,0.34113955,0.32454586,0.29609877,0.2681567,0.23904358,0.21095447,0.18551926,0.16367821,0.14568903,0.13125102,0.11970125,0.11023597,0.10211527,0.09341481,0.08677533,0.08076172,0.07565306,0.07182474,0.06964073,0.06936285,0.07109229,0.07474878,0.0800845,0.08817003
0.08326036,0.08015925,0.07837397,0.07773882,0.07804161,0.07903558,0.08043844,0.08195883,0.08331281,0.08424622,0.08457999999999999,0.08410817,0.08308703,0.08177000000000001,0.08058673,0.0801211,0.08104777,0.08407682,0.08987623,0.09896427,0.11164147,0.12787586,0.15152127,0.17379194,0.19720083,0.2203942,0.24187714,0.2601729,0.2739802,0.28227620000000003,0.28445345,0.28036696,0.2703629,0.25169855,0.23197466,0.20997053,0.18718916,0.16503483,0.14470726,0.12710291,0.11275011,0.1018067,0.09408814,0.08913761,0.08595544,0.0847829,0.08424956,0.08383709,0.08321959,0.08228856,0.08114415,0.08007836,0.07951397,0.07994509,0.08247662
0.08832923,0.08525334,0.08302493,0.08169447,0.08117254,0.08123046,0.08153518,0.08171567,0.08145162,0.08057059,0.07912839,0.0771286,0.07592133,0.07589901,0.07774527,0.08192647,0.08855505,0.09733821,0.1076519,0.11873037,0.12993354,0.14100921,0.15459865,0.16722506,0.1823309,0.20101178,0.22375852,0.25005585,0.27818537,0.3053255,0.32796282,0.3425448,0.3462245,0.33428296,0.31123759999999995,0.27873468,0.2404592,0.20070094,0.16355625,0.13222137,0.1085403,0.09287716,0.0843096,0.08105419,0.08117669,0.08237251,0.08309418,0.08267165,0.0810665,0.07870463,0.07625328,0.07440503,0.07371114,0.07448699,0.07741864
0.10162729,0.08609957,0.07986826,0.08126873,0.08636326,0.09090775,0.09229463,0.09035665,0.08672673,0.08322206,0.08061892,0.07805902,0.07567352,0.07330316,0.07208437,0.07316059,0.07684964,0.08265752,0.09008616,0.09942788,0.111561,0.12677735,0.14694518,0.16173095,0.17198199,0.17829579,0.18520135,0.19946975,0.22644967,0.2663762,0.31279963,0.35418862,0.37816423,0.37277633,0.33976763,0.2891298,0.23297328,0.18269509,0.14517921,0.12149066,0.10828823,0.1007449,0.09516329,0.09006947,0.08496064,0.08221954,0.0807398,0.07968479,0.07812822,0.07573485,0.07303895,0.07126491,0.07187134,0.07605034,0.08651376
0.08753452,0.08397229,0.08143589999999999,0.07995316,0.07936592,0.07934572,0.07944808,0.07920921,0.07826278,0.07645504,0.07392266,0.07057525,0.06836456,0.0675475,0.06883550000000001,0.07265428,0.0790202,0.08752188,0.09743184,0.10793591,0.11842996,0.12880601,0.14194295,0.15495145,0.17158568,0.19333237,0.22091901,0.25379312,0.2898414,0.32548153,0.35616302,0.37720679999999995,0.38479924,0.37341118,0.34740472,0.30948186,0.26437209999999994,0.21756077,0.17420971,0.13822043,0.11165869,0.09464693,0.08569735,0.08234239,0.08190963,0.08192521,0.08084711,0.07832336,0.07478829,0.07115255,0.06844863,0.0675322,0.06888744,0.07256258,0.07953595
0.08967975,0.085904,0.08387995,0.08334437,0.08374713,0.08440839,0.08471058,0.08426047,0.08296338,0.08100358,0.07875668,0.07633013,0.07507341,0.07496162,0.07637039999999999,0.07962971,0.08500099,0.0926213,0.10242089999999998,0.11404142,0.12679939,0.13975263,0.1541619,0.16443786,0.17319176,0.1814625,0.19118062,0.20469287,0.22387913,0.24905923,0.27809057,0.30615190000000003,0.3265865,0.33186296,0.31571987,0.2817212,0.23552153,0.18583414,0.14166078,0.10948411,0.09157279,0.08598164,0.08802858,0.09241635,0.0951582,0.09327603,0.08794025,0.08074780000000001,0.07366743,0.06845405,0.06634434,0.06794668,0.07323664,0.08161101,0.09424215
0.09780015,0.09243459,0.08926405,0.08796585,0.08789884,0.08827076,0.08833748,0.08756774,0.08573046,0.08289076,0.07934415,0.07478918,0.07141408,0.06920023,0.06910999,0.07232809,0.08008707,0.09328255,0.11196741,0.13492766,0.15959325,0.18244973,0.20250311,0.2102929,0.20977828,0.20337322,0.19556284,0.191749,0.19659305,0.21229751,0.23741338,0.26672247,0.29246292,0.30754712,0.30092147,0.27640727,0.23852685,0.1949018,0.15367359,0.12101719,0.09967941,0.08893441,0.08568907,0.08606496,0.0867434,0.08535296,0.08178444,0.07673407,0.07144269,0.06731087,0.06561327,0.06727915,0.07272638,0.08176924,0.0962667
0.09090745,0.0852617,0.07879198,0.08019578,0.08379686,0.08486497,0.08459032,0.08192003,0.07724321,0.07336748,0.07599962,0.08135545,0.08108079,0.08123338,0.08892381,0.09829271,0.09508836,0.08355272,0.08549821,0.11281908,0.14281785,0.14797533,0.12581956,0.11822069,0.13616502,0.16404283,0.18711412,0.21184862,0.2445482,0.27114427,0.27392137,0.26476609999999995,0.27093065,0.29033983,0.27062547,0.20812547,0.14321458,0.12420213,0.14220750000000001,0.15114915,0.13116014,0.10381639,0.09191453,0.08974779,0.08538377,0.08201158,0.08166063,0.07453477,0.05708635,0.04138505,0.04479539,0.06417406,0.07989061,0.0753206,0.03978288
0.0925409,0.08804337,0.08464134,0.08238776,0.08112904,0.08052669,0.08013075,0.0794822,0.07822886,0.07622607,0.07359996,0.07020926,0.06792408,0.06688762,0.06771239999999999,0.0707549,0.07601021,0.08310167,0.09138617,0.10016519,0.10895662,0.11774588,0.12916838,0.14082135,0.15597631,0.17586382,0.20095064,0.23051433,0.26246345,0.29349749999999997,0.3196144,0.33687459999999997,0.34223884,0.33109212,0.30802357,0.27532065,0.23708189999999998,0.19787636,0.16186826,0.13209696,0.11008312,0.09580676,0.08802117,0.08477177,0.08393109,0.08377958,0.08302017,0.08133616,0.07897034,0.07650451,0.07462092,0.07390678,0.07473029,0.07719597,0.08211265
